opportunity_id,sales_agent,product,account,deal_stage,close_date
30,Maureen Marcano,GTXPro,Labdrill,Won,2017-03-14
31,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2017-03-01
32,Versie Hillebrand,MG Special,dambase,Won,2017-03-03
33,James Ascencio,GTXPro,Xx-holding,Won,2017-03-06
34,Kary Hendrixson,GTX Basic,Fasehatice,Won,2017-03-19
35,Reed Clapper,GTX Basic,Acme Corporation,Won,2017-03-01
36,Rosalina Dieter,GTX Basic,Green-Plus,Won,2017-03-03
37,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2017-03-07
38,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2017-03-14
39,Versie Hillebrand,MG Special,Zumgoity,Won,2017-03-09
40,Anna Snelling,MG Special,Gogozoom,Lost,2017-03-30
41,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2017-03-08
42,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2017-03-20
43,Kami Bicknell,GTX Basic,UNKNOWN,Engaging,
44,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2017-03-20
45,Cassey Cress,GTXPro,UNKNOWN,Engaging,
46,Darcel Schlecht,MG Advanced,Conecom,Won,2017-03-14
47,Kary Hendrixson,GTX Basic,Golddex,Won,2017-03-31
48,Rosalina Dieter,GTX Basic,Plexzap,Lost,2017-03-11
49,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2017-03-21
50,James Ascencio,GTX Plus Pro,Sonron,Won,2017-03-05
51,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2017-03-17
52,Maureen Marcano,GTX Plus Basic,Finjob,Won,2017-03-13
53,Niesha Huffines,GTX Basic,Ron-tech,Won,2017-03-05
54,Lajuana Vencill,MG Advanced,Stanredtax,Won,2017-03-04
55,Darcel Schlecht,GTXPro,Funholding,Lost,2017-03-17
56,Darcel Schlecht,MG Advanced,Gogozoom,Won,2017-03-18
57,Kami Bicknell,GTX Plus Basic,UNKNOWN,Engaging,
58,Boris Faz,GTXPro,Opentech,Won,2017-03-23
59,Donn Cantrell,GTX Plus Pro,Silis,Won,2017-03-14
60,Elease Gluck,GTK 500,Zoomit,Won,2017-03-09
61,Hayden Neloms,MG Advanced,UNKNOWN,Engaging,
62,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2017-03-03
63,Lajuana Vencill,MG Advanced,Cancity,Lost,2017-03-08
64,Lajuana Vencill,GTX Basic,Rangreen,Won,2017-03-04
65,Maureen Marcano,GTX Basic,Green-Plus,Engaging,
66,Niesha Huffines,GTX Plus Basic,dambase,Won,2017-03-09
67,Donn Cantrell,GTX Basic,Kan-code,Won,2017-03-21
68,Hayden Neloms,MG Advanced,Nam-zim,Lost,2017-03-01
69,Kary Hendrixson,GTXPro,Y-corporation,Won,2017-03-14
70,Lajuana Vencill,MG Advanced,Ron-tech,Won,2017-03-15
71,Marty Freudenburg,GTXPro,Conecom,Won,2017-03-01
72,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2017-03-17
73,Corliss Cosme,MG Special,Bioplex,Won,2017-03-04
74,Darcel Schlecht,GTXPro,Gogozoom,Won,2017-03-14
75,Kami Bicknell,GTX Basic,Plusstrip,Won,2017-03-31
76,Marty Freudenburg,GTX Basic,Toughzap,Won,2017-03-03
77,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2017-03-20
78,Versie Hillebrand,MG Special,Codehow,Won,2017-03-11
79,Vicki Laflamme,GTXPro,Dalttechnology,Won,2017-03-05
80,Corliss Cosme,GTX Basic,Cheers,Engaging,
81,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2017-03-03
82,Donn Cantrell,MG Special,Kinnamplus,Lost,2017-03-30
83,Elease Gluck,MG Advanced,UNKNOWN,Engaging,
84,Gladys Colclough,GTXPro,Codehow,Won,2017-03-03
85,Gladys Colclough,MG Advanced,Finhigh,Won,2017-03-17
86,Markita Hansen,MG Special,Lexiqvolax,Engaging,
87,Markita Hansen,GTX Basic,Y-corporation,Won,2017-03-01
88,Anna Snelling,MG Advanced,Statholdings,Won,2017-03-25
89,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2017-03-01
90,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,
91,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,
92,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2017-03-28
93,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2017-03-05
94,Versie Hillebrand,MG Special,Dontechi,Won,2017-03-02
95,Vicki Laflamme,MG Advanced,Konex,Won,2017-03-27
96,Anna Snelling,MG Special,Treequote,Won,2017-03-01
97,Cecily Lampkin,MG Advanced,Treequote,Won,2017-03-06
98,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2017-03-01
99,Corliss Cosme,GTXPro,Betasoloin,Won,2017-03-06
100,Darcel Schlecht,MG Special,Domzoom,Won,2017-03-27
101,Violet Mclelland,MG Special,Donquadtech,Won,2017-03-06
102,Anna Snelling,MG Special,Domzoom,Lost,2017-03-27
103,Darcel Schlecht,GTXPro,Finhigh,Won,2017-03-08
104,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2017-03-21
105,Reed Clapper,MG Special,Plussunin,Won,2017-03-12
106,Garret Kinder,GTX Basic,Konex,Won,2017-03-16
107,Kary Hendrixson,GTX Basic,Condax,Won,2017-03-03
108,Markita Hansen,MG Advanced,Opentech,Engaging,
109,Rosalina Dieter,GTX Basic,Konex,Won,2017-03-26
110,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2017-03-21
111,Zane Levy,GTX Plus Pro,Doncon,Won,2017-03-11
112,Zane Levy,GTX Plus Pro,Hatfan,Won,2017-03-21
113,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2017-03-06
114,Kary Hendrixson,GTX Basic,Scotfind,Won,2017-03-26
115,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2017-03-19
116,Versie Hillebrand,MG Special,Stanredtax,Won,2017-03-07
117,Gladys Colclough,MG Special,Scottech,Won,2017-03-07
118,Lajuana Vencill,MG Special,Ron-tech,Lost,2017-03-28
119,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2017-03-12
120,Wilburn Farren,MG Advanced,Plussunin,Won,2017-03-10
121,Cassey Cress,MG Advanced,Zotware,Won,2017-03-15
122,Violet Mclelland,GTX Basic,Gekko & Co,Won,2017-03-24
123,Anna Snelling,GTX Plus Basic,dambase,Lost,2017-03-06
124,Cassey Cress,MG Advanced,Initech,Won,2017-03-22
125,Corliss Cosme,GTX Basic,Gekko & Co,Won,2017-03-26
126,Corliss Cosme,GTX Basic,Konex,Won,2017-03-28
127,Darcel Schlecht,GTXPro,Dontechi,Won,2017-03-30
128,Lajuana Vencill,MG Advanced,Finhigh,Lost,2017-03-02
129,Niesha Huffines,GTX Basic,Cancity,Won,2017-03-26
130,Vicki Laflamme,MG Special,Y-corporation,Won,2017-03-05
131,Darcel Schlecht,GTXPro,Ron-tech,Won,2017-03-09
132,Hayden Neloms,GTX Plus Basic,Golddex,Won,2017-03-03
133,Hayden Neloms,GTX Plus Basic,Sonron,Won,2017-03-04
134,Hayden Neloms,MG Special,Nam-zim,Won,2017-03-04
135,Jonathan Berthelot,GTXPro,Statholdings,Won,2017-03-30
136,Kary Hendrixson,GTX Basic,Cheers,Won,2017-03-20
137,Moses Frase,GTX Basic,Treequote,Won,2017-03-06
138,Versie Hillebrand,MG Special,Funholding,Won,2017-03-14
139,Vicki Laflamme,MG Special,Plusstrip,Won,2017-03-27
140,Zane Levy,GTX Basic,UNKNOWN,Engaging,
141,Darcel Schlecht,GTX Basic,Dontechi,Lost,2017-03-12
142,Darcel Schlecht,GTXPro,Funholding,Lost,2017-03-19
143,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2017-03-23
144,Darcel Schlecht,GTXPro,Rangreen,Won,2017-03-22
145,Moses Frase,GTX Plus Basic,Dontechi,Lost,2017-03-17
146,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2017-03-02
147,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2017-03-09
148,Corliss Cosme,GTX Basic,Initech,Won,2017-03-20
149,Darcel Schlecht,GTXPro,Condax,Lost,2017-03-09
150,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2017-03-12
151,Gladys Colclough,MG Special,Cancity,Won,2017-03-09
152,James Ascencio,GTXPro,Doncon,Won,2017-03-08
153,Kami Bicknell,GTX Basic,Xx-holding,Won,2017-03-10
154,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2017-03-16
155,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2017-03-08
156,Boris Faz,MG Advanced,Donquadtech,Won,2017-03-14
157,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2017-03-30
158,Daniell Hammack,GTX Plus Pro,UNKNOWN,Engaging,
159,Donn Cantrell,MG Advanced,Yearin,Won,2017-03-23
160,James Ascencio,GTX Basic,UNKNOWN,Engaging,
161,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2017-03-21
162,Lajuana Vencill,GTX Basic,Codehow,Won,2017-03-12
163,Markita Hansen,MG Special,Plusstrip,Won,2017-03-16
164,Zane Levy,GTX Plus Basic,Labdrill,Won,2017-03-09
165,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2017-03-07
166,Daniell Hammack,MG Special,Plussunin,Lost,2017-03-20
167,Daniell Hammack,GTXPro,Umbrella Corporation,Won,2017-03-28
168,Gladys Colclough,MG Special,dambase,Won,2017-03-12
169,Hayden Neloms,MG Advanced,J-Texon,Won,2017-03-03
170,Jonathan Berthelot,MG Special,Rangreen,Won,2017-03-11
171,Kami Bicknell,GTX Basic,Finjob,Won,2017-03-20
172,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2017-03-01
173,Daniell Hammack,GTXPro,Stanredtax,Engaging,
174,Donn Cantrell,GTXPro,Plussunin,Won,2017-03-20
175,James Ascencio,MG Advanced,UNKNOWN,Engaging,
176,Kami Bicknell,GTX Plus Basic,UNKNOWN,Engaging,
177,Kami Bicknell,MG Advanced,Singletechno,Won,2017-03-11
178,Kary Hendrixson,GTX Plus Pro,UNKNOWN,Engaging,
179,Markita Hansen,GTX Plus Pro,Zoomit,Won,2017-03-10
180,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2017-03-28
181,Vicki Laflamme,MG Special,Scotfind,Won,2017-03-26
182,Anna Snelling,MG Special,Betatech,Lost,2017-03-22
183,Cassey Cress,GTX Basic,Bubba Gump,Won,2017-03-14
184,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2017-03-14
185,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,2017-03-03
186,Donn Cantrell,MG Advanced,Ontomedia,Won,2017-03-28
187,Kary Hendrixson,GTX Plus Pro,Doncon,Won,2017-03-04
188,Vicki Laflamme,MG Special,Dalttechnology,Won,2017-03-15
189,Violet Mclelland,MG Advanced,Silis,Won,2017-03-14
190,Cassey Cress,GTXPro,Plussunin,Engaging,
191,Kami Bicknell,GTXPro,Blackzim,Won,2017-03-22
192,Markita Hansen,MG Special,Hottechi,Won,2017-03-25
193,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2017-03-24
194,Niesha Huffines,MG Special,Inity,Won,2017-03-24
195,Versie Hillebrand,MG Special,Treequote,Won,2017-03-07
196,Violet Mclelland,GTX Basic,Mathtouch,Won,2017-03-18
197,Cassey Cress,MG Advanced,UNKNOWN,Engaging,
198,Elease Gluck,MG Special,UNKNOWN,Engaging,
199,Jonathan Berthelot,GTX Basic,Finhigh,Won,2017-03-21
200,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,2017-03-18
201,Kary Hendrixson,GTXPro,Fasehatice,Won,2017-03-28
202,Lajuana Vencill,GTX Basic,Treequote,Lost,2017-03-09
203,Markita Hansen,GTX Plus Basic,Blackzim,Won,2017-03-11
204,Cassey Cress,GTX Plus Pro,Sumace,Lost,2017-03-09
205,James Ascencio,GTX Basic,Condax,Won,2017-03-29
206,Rosalina Dieter,MG Advanced,UNKNOWN,Engaging,
207,Rosie Papadopoulos,GTXPro,Kinnamplus,Won,2017-03-11
208,Vicki Laflamme,GTX Basic,Konex,Won,2017-03-18
209,Violet Mclelland,MG Special,Sumace,Lost,2017-03-23
210,Darcel Schlecht,GTX Plus Pro,Betatech,Won,2017-03-20
211,Garret Kinder,MG Special,Kinnamplus,Won,2017-03-06
212,Jonathan Berthelot,GTX Basic,Isdom,Won,2017-03-28
213,Kami Bicknell,GTXPro,UNKNOWN,Engaging,
214,Maureen Marcano,GTX Basic,Kan-code,Won,2017-03-04
215,Zane Levy,GTX Basic,Singletechno,Won,2017-03-27
216,Gladys Colclough,GTX Plus Basic,Konmatfix,Won,2017-03-02
217,Hayden Neloms,MG Advanced,UNKNOWN,Engaging,
218,Kary Hendrixson,GTX Plus Basic,Hottechi,Engaging,
219,Kary Hendrixson,GTX Plus Basic,Hatfan,Won,2017-03-13
220,Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,2017-03-14
221,Lajuana Vencill,GTX Basic,Codehow,Won,2017-03-22
222,Markita Hansen,GTX Basic,UNKNOWN,Engaging,
223,Maureen Marcano,GTXPro,Singletechno,Lost,2017-03-04
224,Versie Hillebrand,MG Special,Isdom,Won,2017-03-31
225,Violet Mclelland,MG Special,Silis,Won,2017-03-20
226,Violet Mclelland,MG Special,Yearin,Won,2017-03-18
227,Anna Snelling,GTX Plus Pro,Stanredtax,Won,2017-03-15
228,Daniell Hammack,GTX Basic,Bioplex,Won,2017-03-16
229,Kary Hendrixson,GTXPro,Labdrill,Won,2017-03-15
230,Markita Hansen,MG Special,UNKNOWN,Engaging,
231,Vicki Laflamme,GTXPro,Fasehatice,Won,2017-03-07
232,Boris Faz,GTX Plus Pro,Genco Pura Olive Oil Company,Engaging,
233,Daniell Hammack,GTX Basic,Domzoom,Engaging,
234,Donn Cantrell,GTX Plus Basic,Opentech,Won,2017-03-07
235,James Ascencio,GTX Basic,Plexzap,Won,2017-03-15
236,Kary Hendrixson,GTXPro,Hatfan,Won,2017-03-09
237,Lajuana Vencill,GTX Basic,Konmatfix,Won,2017-03-24
238,Moses Frase,GTX Basic,dambase,Won,2017-03-13
239,Reed Clapper,GTX Basic,Mathtouch,Won,2017-03-14
240,Versie Hillebrand,MG Special,Betatech,Won,2017-03-08
241,Vicki Laflamme,GTX Basic,Y-corporation,Won,2017-03-28
242,Cassey Cress,GTX Basic,UNKNOWN,Engaging,
243,Corliss Cosme,GTX Plus Pro,UNKNOWN,Engaging,
244,Corliss Cosme,GTX Plus Basic,Konex,Won,2017-03-13
245,Darcel Schlecht,GTX Basic,Statholdings,Won,2017-03-04
246,Donn Cantrell,GTX Plus Basic,Initech,Lost,2017-03-27
247,Donn Cantrell,GTX Basic,Zencorporation,Won,2017-03-12
248,Hayden Neloms,GTX Plus Basic,Fasehatice,Won,2017-03-20
249,Lajuana Vencill,GTX Basic,Zumgoity,Won,2017-03-02
250,Moses Frase,GTX Basic,Rundofase,Won,2017-03-28
251,Rosie Papadopoulos,MG Special,Vehement Capital Partners,Won,2017-03-02
252,Versie Hillebrand,GTX Plus Pro,Isdom,Won,2017-03-25
253,Vicki Laflamme,MG Special,UNKNOWN,Engaging,
254,Anna Snelling,MG Advanced,Isdom,Won,2017-03-02
255,Cassey Cress,MG Advanced,UNKNOWN,Engaging,
256,Darcel Schlecht,GTX Basic,Finhigh,Won,2017-03-14
257,Donn Cantrell,GTX Plus Basic,Silis,Won,2017-03-15
258,Garret Kinder,GTX Plus Pro,Silis,Won,2017-03-21
259,Kary Hendrixson,GTXPro,Hottechi,Lost,2017-03-18
260,Maureen Marcano,MG Special,Kan-code,Lost,2017-03-14
261,Rosalina Dieter,MG Special,Hatfan,Lost,2017-03-13
262,Rosie Papadopoulos,MG Special,Plexzap,Engaging,
263,Versie Hillebrand,MG Advanced,Gogozoom,Won,2017-03-24
264,Vicki Laflamme,GTXPro,Fasehatice,Won,2017-03-21
265,Violet Mclelland,MG Special,Initech,Won,2017-03-14
266,Wilburn Farren,MG Advanced,Initech,Lost,2017-03-27
267,Elease Gluck,GTK 500,Warephase,Engaging,
268,Elease Gluck,GTX Plus Basic,Scotfind,Won,2017-03-18
269,Elease Gluck,MG Special,Singletechno,Won,2017-03-07
270,Gladys Colclough,GTX Plus Basic,Cancity,Lost,2017-03-07
271,Kami Bicknell,GTX Basic,Groovestreet,Won,2017-03-16
272,Marty Freudenburg,GTX Plus Basic,Finhigh,Lost,2017-03-12
273,Vicki Laflamme,GTXPro,Hatfan,Won,2017-03-16
274,Anna Snelling,MG Advanced,Isdom,Lost,2017-03-01
275,Daniell Hammack,GTX Plus Basic,UNKNOWN,Engaging,
276,Darcel Schlecht,MG Advanced,Codehow,Won,2017-03-25
277,Donn Cantrell,GTX Basic,Kinnamplus,Won,2017-03-12
278,Gladys Colclough,GTX Basic,Isdom,Lost,2017-03-25
279,Kary Hendrixson,GTX Basic,Dalttechnology,Lost,2017-03-07
280,Kary Hendrixson,MG Special,Xx-holding,Won,2017-03-31
281,Markita Hansen,MG Special,Faxquote,Won,2017-03-08
282,Rosie Papadopoulos,MG Special,Donware,Won,2017-03-08
283,Cassey Cress,GTX Plus Basic,Ganjaflex,Won,2017-03-27
284,Corliss Cosme,MG Advanced,Yearin,Won,2017-03-09
285,Daniell Hammack,GTX Plus Basic,Donquadtech,Won,2017-03-07
286,Elease Gluck,GTXPro,Blackzim,Engaging,
287,Hayden Neloms,MG Special,Zoomit,Won,2017-03-23
288,Jonathan Berthelot,GTX Basic,Rundofase,Lost,2017-03-10
289,Kary Hendrixson,GTX Basic,Faxquote,Lost,2017-03-28
290,Kary Hendrixson,GTXPro,Sunnamplex,Won,2017-03-08
291,Moses Frase,GTX Basic,Codehow,Won,2017-03-22
292,Niesha Huffines,GTX Plus Basic,Domzoom,Won,2017-03-21
293,Vicki Laflamme,GTX Basic,UNKNOWN,Engaging,
294,Vicki Laflamme,GTX Basic,Sunnamplex,Lost,2017-03-08
295,Anna Snelling,GTX Plus Pro,Bioholding,Lost,2017-03-27
296,Gladys Colclough,GTX Plus Pro,Dontechi,Won,2017-03-14
297,Kami Bicknell,MG Advanced,Finjob,Won,2017-03-01
298,Rosalina Dieter,MG Special,Finjob,Won,2017-03-31
299,Violet Mclelland,MG Special,Bioplex,Won,2017-03-04
300,Zane Levy,GTXPro,Opentech,Engaging,
301,Corliss Cosme,GTX Basic,UNKNOWN,Engaging,
302,Daniell Hammack,GTX Plus Basic,Finhigh,Engaging,
303,Darcel Schlecht,GTXPro,Funholding,Won,2017-03-20
304,Gladys Colclough,MG Advanced,Isdom,Won,2017-03-13
305,James Ascencio,GTXPro,Plexzap,Won,2017-03-02
306,Jonathan Berthelot,GTX Basic,Cancity,Won,2017-03-12
307,Moses Frase,MG Special,Isdom,Won,2017-03-07
308,Cecily Lampkin,MG Advanced,Isdom,Won,2017-03-16
309,Corliss Cosme,GTX Plus Pro,Condax,Won,2017-03-26
310,Darcel Schlecht,MG Advanced,Toughzap,Won,2017-03-14
311,Elease Gluck,GTX Plus Pro,Green-Plus,Lost,2017-03-29
312,Jonathan Berthelot,GTX Basic,Codehow,Won,2017-03-31
313,Moses Frase,GTX Basic,Dontechi,Won,2017-03-03
314,Niesha Huffines,GTX Basic,Domzoom,Lost,2017-03-10
315,Versie Hillebrand,MG Special,Condax,Won,2017-03-08
316,Darcel Schlecht,GTX Plus Pro,Isdom,Won,2017-03-13
317,Donn Cantrell,GTXPro,Kinnamplus,Lost,2017-03-23
318,Garret Kinder,GTX Basic,Yearin,Won,2017-03-30
319,Gladys Colclough,GTXPro,Warephase,Won,2017-03-25
320,Hayden Neloms,GTX Plus Basic,Green-Plus,Won,2017-03-17
321,Lajuana Vencill,MG Special,Betatech,Won,2017-03-10
322,Maureen Marcano,GTX Basic,Treequote,Engaging,
323,Rosalina Dieter,GTX Basic,UNKNOWN,Engaging,
324,Violet Mclelland,MG Special,Ontomedia,Won,2017-03-05
325,Darcel Schlecht,GTX Basic,Rangreen,Lost,2017-03-23
326,James Ascencio,GTX Plus Pro,Nam-zim,Won,2017-03-10
327,Kami Bicknell,MG Advanced,Gogozoom,Engaging,
328,Kary Hendrixson,GTXPro,UNKNOWN,Engaging,
329,Niesha Huffines,MG Advanced,Treequote,Won,2017-03-02
330,Kary Hendrixson,GTX Basic,UNKNOWN,Engaging,
331,Kary Hendrixson,GTX Plus Pro,Faxquote,Won,2017-03-15
332,Markita Hansen,MG Special,Kan-code,Lost,2017-03-28
333,Markita Hansen,MG Advanced,Sonron,Lost,2017-03-25
334,Anna Snelling,GTX Basic,Conecom,Won,2017-03-01
335,Corliss Cosme,GTXPro,UNKNOWN,Engaging,
336,Darcel Schlecht,GTXPro,Warephase,Lost,2017-03-16
337,Darcel Schlecht,GTXPro,Conecom,Won,2017-03-22
338,Kary Hendrixson,GTX Basic,UNKNOWN,Engaging,
339,Kary Hendrixson,GTX Plus Pro,Konex,Won,2017-03-13
340,Reed Clapper,MG Special,Vehement Capital Partners,Won,2017-03-16
341,Versie Hillebrand,MG Special,Konmatfix,Won,2017-03-28
342,Vicki Laflamme,MG Advanced,Fasehatice,Won,2017-03-13
343,Anna Snelling,GTX Plus Pro,Rundofase,Won,2017-03-27
344,Anna Snelling,MG Advanced,Stanredtax,Won,2017-03-23
345,Cassey Cress,GTX Plus Pro,UNKNOWN,Engaging,
346,Corliss Cosme,GTX Plus Pro,Ganjaflex,Won,2017-03-23
347,Corliss Cosme,MG Advanced,Gekko & Co,Won,2017-03-03
348,Gladys Colclough,GTX Basic,Domzoom,Won,2017-03-19
349,James Ascencio,GTX Basic,Goodsilron,Won,2017-03-10
350,Kami Bicknell,GTXPro,UNKNOWN,Engaging,
351,Markita Hansen,GTX Basic,Zoomit,Won,2017-03-13
352,Marty Freudenburg,MG Special,Funholding,Won,2017-03-03
353,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2017-03-13
354,Reed Clapper,GTX Plus Basic,Gekko & Co,Lost,2017-03-28
355,Rosalina Dieter,MG Special,Plexzap,Won,2017-03-14
356,Vicki Laflamme,GTX Basic,UNKNOWN,Engaging,
357,Violet Mclelland,MG Special,Opentech,Won,2017-03-29
358,Zane Levy,GTXPro,Xx-holding,Won,2017-03-13
359,Anna Snelling,GTX Plus Pro,Codehow,Won,2017-03-01
360,Daniell Hammack,GTX Plus Basic,Opentech,Won,2017-03-19
361,Darcel Schlecht,GTX Basic,Gogozoom,Won,2017-03-20
362,Elease Gluck,MG Special,UNKNOWN,Engaging,
363,Jonathan Berthelot,GTX Basic,Streethex,Won,2017-03-16
364,Kami Bicknell,GTX Basic,Finjob,Won,2017-03-26
365,Reed Clapper,MG Advanced,Xx-zobam,Won,2017-03-29
366,Vicki Laflamme,MG Advanced,Y-corporation,Won,2017-03-22
367,Zane Levy,GTX Plus Basic,Green-Plus,Engaging,
368,Zane Levy,GTXPro,Goodsilron,Won,2017-03-18
369,Anna Snelling,MG Special,Hottechi,Won,2017-03-02
370,Corliss Cosme,GTX Plus Basic,dambase,Engaging,
371,Corliss Cosme,GTX Plus Basic,UNKNOWN,Engaging,
372,Jonathan Berthelot,GTX Basic,Dontechi,Won,2017-05-04
373,Kary Hendrixson,GTX Basic,Goodsilron,Won,2017-03-01
374,Kary Hendrixson,GTXPro,Sonron,Won,2017-03-17
375,Marty Freudenburg,MG Advanced,Zumgoity,Won,2017-03-10
376,Moses Frase,GTX Basic,Dontechi,Won,2017-03-21
377,Violet Mclelland,GTX Basic,Zencorporation,Won,2017-03-29
378,Cassey Cress,MG Advanced,Donware,Won,2017-03-12
379,Daniell Hammack,MG Advanced,Ganjaflex,Lost,2017-03-22
380,Darcel Schlecht,GTX Plus Basic,Stanredtax,Won,2017-03-21
381,Hayden Neloms,MG Special,UNKNOWN,Engaging,
382,James Ascencio,GTX Plus Basic,Doncon,Won,2017-03-06
383,James Ascencio,GTXPro,Sunnamplex,Won,2017-03-18
384,Kary Hendrixson,GTX Basic,Finjob,Lost,2017-03-17
385,Kary Hendrixson,GTX Plus Basic,Xx-holding,Won,2017-03-30
386,Vicki Laflamme,MG Special,Scotfind,Won,2017-03-15
387,Violet Mclelland,MG Special,Ganjaflex,Lost,2017-03-05
388,Boris Faz,GTX Plus Basic,Iselectrics,Won,2017-03-25
389,Cecily Lampkin,MG Advanced,Genco Pura Olive Oil Company,Lost,2017-03-20
390,Daniell Hammack,GTX Plus Pro,UNKNOWN,Engaging,
391,James Ascencio,MG Advanced,UNKNOWN,Engaging,
392,Kary Hendrixson,GTX Basic,UNKNOWN,Engaging,
393,Kary Hendrixson,GTX Basic,Faxquote,Won,2017-03-16
394,Marty Freudenburg,GTXPro,Treequote,Won,2017-05-05
395,Vicki Laflamme,GTX Plus Basic,Hottechi,Won,2017-03-28
396,Vicki Laflamme,MG Advanced,Plexzap,Won,2017-03-12
397,Wilburn Farren,MG Special,UNKNOWN,Engaging,
398,Anna Snelling,MG Advanced,Funholding,Lost,2017-03-25
399,Daniell Hammack,GTX Plus Pro,UNKNOWN,Engaging,
400,Darcel Schlecht,GTXPro,Treequote,Lost,2017-03-09
401,Garret Kinder,GTX Plus Basic,Opentech,Lost,2017-03-26
402,Jonathan Berthelot,GTXPro,Treequote,Won,2017-03-19
403,Kami Bicknell,MG Advanced,UNKNOWN,Engaging,
404,Kary Hendrixson,GTX Basic,Blackzim,Lost,2017-03-30
405,Vicki Laflamme,GTXPro,Goodsilron,Won,2017-03-23
406,Anna Snelling,MG Advanced,Funholding,Lost,2017-03-21
407,Boris Faz,GTX Plus Pro,UNKNOWN,Engaging,
